COUNTY_CODE_AND_NAME,ALL_LIVE_STOCKING,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
01057 AL Fayette,Total,339096.60795792553,1809390381.1086261,59,42536.92961543682,12.544192014068958
01059 AL Franklin,Total,299101.67821604025,1472791424.8894143,58,38376.96476910875,12.830742039965815
01061 AL Geneva,Total,197130.86959891435,1041413097.2256596,42,32270.93269841545,16.370309106876267
01063 AL Greene,Total,347068.80691711756,1840099304.6660707,63,42896.378689419354,12.359617987698707
01065 AL Hale,Total,288919.08486748283,1522882868.8727312,55,39024.13187852782,13.506941535699116
01067 AL Henry,Total,269583.46478430805,1491477935.8987317,49,38619.657376765164,14.325677358462805
01069 AL Houston,Total,175280.5120654001,924697307.4621003,36,30408.83600965516,17.348669085533654
01071 AL Jackson,Total,449466.2886025379,2096264720.176498,86,45784.9835664107,10.186522265944236
01073 AL Jefferson,Total,384180.54843915545,1908360282.287726,79,43684.783189203605,11.370899272929268
01075 AL Lamar,Total,338741.4336702911,1773500343.3670006,61,42112.947455230445,12.43218079315932
01077 AL Lauderdale,Total,180606.56582733098,879648642.8147206,40,29658.87123298391,16.42181229520708
01079 AL Lawrence,Total,224095.01565338412,1147450791.490255,43,33874.04303430954,15.115928810618328
01081 AL Lee,Total,248015.8671057908,1341244610.2489667,47,36623.00657030996,14.766396601024109
01083 AL Limestone,Total,98511.64587425861,512101898.18663627,22,22629.66853903601,22.971566801270153
01085 AL Lowndes,Total,312235.8566134465,1720895119.4196036,56,41483.672925858475,13.286005449789192
01087 AL Macon,Total,330208.854327433,1816669666.6499493,60,42622.40803438902,12.907712036129993
01089 AL Madison,Total,207623.7880156467,1045282552.4203644,42,32330.82975149825,15.571833102795413
01091 AL Marengo,Total,478429.247702171,2412199838.2475686,87,49114.15109973467,10.265708322729662
01093 AL Marion,Total,365103.17898192,1930195867.3936074,65,43933.99443931325,12.033309203667292
01095 AL Marshall,Total,154182.43428212783,800501731.3898201,32,28293.13929895055,18.350429755946703
01097 AL Mobile,Total,496424.86200597073,2371899963.0285482,93,48702.15563020336,9.810579476903312
01099 AL Monroe,Total,573711.3593760838,2885224447.2806954,102,53714.28531853231,9.362597487514815
01101 AL Montgomery,Total,256119.27344400255,1401870679.999392,48,37441.56353572046,14.61879968354143
01103 AL Morgan,Total,189492.94573260887,941619223.5312102,40,30685.81469557571,16.19364487524305
01105 AL Perry,Total,345455.2795047749,1834645046.1368861,62,42832.75669551151,12.398929539277594
01107 AL Pickens,Total,476502.15645450616,2494674872.5179825,80,49946.72033795595,10.481950535039099
01109 AL Pike,Total,308079.75769346947,1658665617.7096994,58,40726.71872014365,13.219537377287077
01111 AL Randolph,Total,286633.67888532946,1565872343.686407,53,39571.10490858711,13.805462450355638
01113 AL Russell,Total,312475.42207235587,1730765053.5898478,57,41602.46451341372,13.313835769067422
01115 AL St. Clair,Total,311927.4653791443,1646929463.9961655,58,40582.37873752801,13.01019731885443
01117 AL Shelby,Total,337077.28856011684,1760478757.2894363,65,41958.05950338309,12.44760799002926
01119 AL Sumter,Total,450250.7488122333,2305928298.992295,80,48020.08224682976,10.665186537392175
01121 AL Talladega,Total,306422.86806124874,1601520446.6598847,59,40019.00107024018,13.06005694791717
01123 AL Tallapoosa,Total,392049.94881583407,2126402819.2399719,70,46112.93548712738,11.76200523081537
01125 AL Tuscaloosa,Total,692527.192452073,3241294185.412179,126,56932.36500807058,8.220957332590322
01127 AL Walker,Total,393578.7142745506,2022151829.9701202,76,44968.342530830734,11.425501659488106
01129 AL Washington,Total,626149.4894709196,2785127831.0463424,111,52774.310332266235,8.428388303384098
01131 AL Wilcox,Total,505757.05133389815,2623811041.5200152,88,51223.149468965836,10.128014890522719
01133 AL Winston,Total,312788.2300647402,1611536481.0911305,59,40143.947004388225,12.83422557046962
02020 AK Anchorage Borough,Total,138872.9319417898,822414213.9190048,25,28677.76514861304,20.65036342765029
02100 AK Haines Borough,Total,403367.0646461843,2373535042.176085,64,48718.939255448546,12.078065743464364
02110 AK Juneau Borough,Total,528313.4731554748,2895454477.2186365,81,53809.427400954904,10.185132527392424
02122 AK Kenai Peninsula Borough,Total,2152019.629056434,5548028016.672459,375,74485.08586738998,3.461171304466605
02130 AK Ketchikan Gateway Borough,Total,519773.9881922334,3179096495.4290757,83,56383.47714915315,10.847691194639058
02150 AK Kodiak Island Borough,Total,518789.33952674153,1289029057.058009,97,35903.05080432593,6.9205452134151395
02201 AK Prince of Wales-Outer Ketchikan Census Area,Total,2472470.9609160745,8209285711.352859,401,90605.10863827083,3.664557039112838
02220 AK Sitka Borough,Total,929100.4893626225,5031645708.495327,149,70934.09411908583,7.634706356440274
02232 AK Skagway-Hoonah-Angoon Census Area,Total,848994.2272615689,4767156754.874862,136,69044.59975171745,8.132516987120257
02261 AK Valdez-Cordova Census Area,Total,1095581.0037041786,4700614883.740081,211,68561.0303579233,6.257960856031389
02280 AK Wrangell-Petersburg Census Area,Total,2173500.9095843043,9700983036.255192,354,98493.5685019849,4.531563252063346
02282 AK Yakutat Borough,Total,270840.0596795878,1365690438.5799205,48,36955.24913432354,13.644676189350552
04001 AZ Apache,Total,2847355.424060391,3831615944.4045153,520,61900.048016172936,2.173948762880544
04003 AZ Cochise,Total,1028861.6984344926,3612593703.1566544,181,60104.85590330164,5.841879039209711
04005 AZ Coconino,Total,4474581.51089414,5070671892.91864,776,71208.65040792896,1.5914035811965705
04007 AZ Gila,Total,1736217.378129233,3019896140.9406486,307,54953.58169346788,3.1651325684045473
04009 AZ Graham,Total,935842.0387491538,2295917871.651465,168,47915.737202420925,5.1200667653768885
04011 AZ Greenlee,Total,647965.2614036665,812807521.5151782,111,28509.779401376964,4.399893188659086
04012 AZ La Paz,Total,4638.97965738758,21520132.261655793,1,4638.97965738758,100.0
04013 AZ Maricopa,Total,75412.39024241322,342087120.4304749,18,18495.597325592782,24.525939658110108
04015 AZ Mohave,Total,1505188.3257638386,3919308597.841758,268,62604.38161855572,4.1592391162604745
04017 AZ Navajo,Total,2130307.7550058295,3649479702.0548534,381,60410.92369807677,2.8357838700123144
04019 AZ Pima,Total,754959.8036250453,3641412071.02389,124,60344.113805937115,7.993023405509325
04021 AZ Pinal,Total,212608.7586457233,983949877.5703907,40,31367.975350194196,14.753849065298219
04023 AZ Santa Cruz,Total,377805.2428360735,890205398.1109215,65,29836.310061918204,7.897272636543036
04025 AZ Yavapai,Total,1735178.0322063242,5283747649.613732,282,72689.39158923902,4.189160434264636
04027 AZ Yuma,Total,16055.090909090908,78524724.69246346,4,8861.417758601807,55.193818638449365
05001 AR Arkansas,Total,197742.6845283728,949358717.3933272,42,30811.66528108027,15.581696665324326
05003 AR Ashley,Total,419961.8254918421,2336855442.426928,72,48341.03269921866,11.510815927758106
05005 AR Baxter,Total,214838.76729769647,1196753981.7529342,41,34594.132186729796,16.102369521974406
05007 AR Benton,Total,220065.24998169584,1175365543.9992688,45,34283.6045946057,15.57883609404814
05009 AR Boone,Total,167830.00528135675,914067888.833544,33,30233.55567632666,18.014392376167752
05011 AR Bradley,Total,367177.8073868904,2059291988.534554,63,45379.422523149784,12.358977479086606
05013 AR Calhoun,Total,354944.84370804357,2001300049.1645784,60,44735.892180268165,12.60361799115618
05015 AR Carroll,Total,212321.96834565327,1138675819.1602175,44,33744.27090870712,15.892971966882175
05017 AR Chicot,Total,127484.03917051162,632752692.377844,28,25154.575972928742,19.73154924851742
05019 AR Clark,Total,466045.97887243034,2523167714.132688,84,50231.142871058466,10.778151759315602
05021 AR Clay,Total,82769.59430243302,448784484.1526108,15,21184.53407919586,25.594584892840462
05023 AR Cleburne,Total,268611.409530314,1443027780.3296387,53,37987.20548197299,14.142066991270513
05025 AR Cleveland,Total,323710.38629702525,1825278325.7989113,57,42723.276159476714,13.1979936288715
05027 AR Columbia,Total,429142.51084624475,2329499221.8017387,77,48264.886012521965,11.246820063886549
05029 AR Conway,Total,181087.80723200773,987286709.5350251,35,31421.11884600905,17.35131664924997
05031 AR Craighead,Total,59971.771101471415,300598526.82595646,13,17337.777447699475,28.909897322132096
05033 AR Crawford,Total,235941.78720100515,1252383924.2383041,46,35389.0367803124,14.999054300696438
05035 AR Crittenden,Total,46927.673763085,236317149.58345956,10,15372.610369857799,32.758091627270154
05037 AR Cross,Total,46596.80383792565,227423182.31874654,11,15080.556432663436,32.363928833224406
05039 AR Dallas,Total,410375.6151276915,2275789050.169273,72,47705.23084703891,11.62477230334338
05041 AR Desha,Total,152066.91762872308,799527859.3198415,29,28275.92366872993,18.59439522392808
05043 AR Drew,Total,419597.093767595,2341282100.067287,72,48386.79675352861,11.531728287024057
05045 AR Faulkner,Total,196798.88307283947,1046748166.4400184,41,32353.48770132856,16.439873639604876
05047 AR Franklin,Total,214280.14328483824,1159689387.580408,44,34054.212479228,15.892378993773784
05049 AR Fulton,Total,239469.9031426127,1272254538.5031672,50,35668.677274370115,14.894847664062475
05051 AR Garland,Total,387762.00110663567,1936075430.396001,71,44000.85715524189,11.34738758044049
05053 AR Grant,Total,390696.8018644684,2221490337.7976685,66,47132.688633237005,12.063750818617452
05055 AR Greene,Total,91239.81294202131,426356544.5878736,19,20648.402954898804,22.63091329222684
05057 AR Hempstead,Total,308956.6282849272,1688168483.917571,58,41087.327534381824,13.298736383312063
05059 AR Hot Spring,Total,259261.712663076,1453996517.1544247,48,38131.30626079343,14.707650377341693
05061 AR Howard,Total,281281.6979696123,1562205061.5322018,51,39524.739866724005,14.051657165050951
05063 AR Independence,Total,214006.18973842292,1144171579.2630625,44,33825.605379106855,15.805900483743704
05065 AR Izard,Total,236151.57966855122,1303073684.8724873,45,36098.11192946921,15.285992149675408
05067 AR Jackson,Total,80153.03427491483,421178297.1463884,16,20522.628904367695,25.60430692365015
05069 AR Jefferson,Total,207227.78753855487,966141051.068743,44,31082.809574887902,14.999344414225781
05071 AR Johnson,Total,315576.38096470264,1633815815.9207447,58,40420.487576484586,12.80846413566218
05073 AR Lafayette,Total,208271.7038512392,1156705903.7699904,37,34010.379353514865,16.329812799633707
05075 AR Lawrence,Total,95506.70400781381,462768469.43581605,21,21512.054049667502,22.52412987459761
05077 AR Lee,Total,96450.38526765944,514502325.8998098,20,22682.643714959897,23.517421575884118
05079 AR Lincoln,Total,138924.64007300924,743829251.9158409,26,27273.233250127145,19.631674579681622
05081 AR Little River,Total,186465.64272259257,1014185948.9654562,36,31846.286266462157,17.078903009408712
05083 AR Logan,Total,260066.74245583834,1391983344.392578,47,37309.29300311891,14.34604542311071
05085 AR Lonoke,Total,125378.89107968792,637206669.727684,27,25242.952872587706,20.13333556806135
05087 AR Madison,Total,316515.8735735088,1689785732.7874932,67,41107.00345181455,12.987343411156822
05089 AR Marion,Total,236819.40893326415,1220003626.455273,52,34928.5503056636,14.749023512471684
05091 AR Miller,Total,206109.95434272537,1121207271.6181157,40,33484.433273061615,16.24590786012342
05093 AR Mississippi,Total,31190.41838878046,148913701.99284446,8,12203.020199640925,39.124259404069065
05095 AR Monroe,Total,179547.43531261964,876518649.5291419,36,29606.057649223443,16.489267918349686
05097 AR Montgomery,Total,415202.95439727296,1919319715.7677052,72,43810.041266446045,10.551476284662437
05099 AR Nevada,Total,330667.3707662529,1839888173.7376661,60,42893.91767765759,12.971923289032073
05101 AR Newton,Total,422597.0201912658,2270054062.5373335,76,47645.08434809758,11.27435407058327
05103 AR Ouachita,Total,392431.109211456,2191057104.9407444,68,46808.728939597844,11.927884370241305
05105 AR Perry,Total,278716.8495456296,1526148760.1114686,50,39065.95397672337,14.016358910632624
05107 AR Phillips,Total,93864.65421278239,490719582.41971874,20,22152.191368343647,23.60014166581459
05109 AR Pike,Total,309571.8167024899,1740203522.4603517,56,41715.74669666542,13.475305065239777
05111 AR Poinsett,Total,75619.4047086988,367268123.6168609,17,19164.240752423793,25.343019858789305
05113 AR Polk,Total,445820.3476768403,2261402525.7261133,81,47554.20618332424,10.666674688835565
05115 AR Pope,Total,387576.944045391,2035274425.2629426,71,45114.01584056714,11.640015365641467
05117 AR Prairie,Total,115798.91234747958,594400084.1023247,24,24380.32165707263,21.054016106743926
05119 AR Pulaski,Total,227562.38310721595,1078139198.215766,55,32835.030047432054,14.429023636987418
05121 AR Randolph,Total,190280.28809234945,1036943445.7139796,38,32201.606259843305,16.923248636356266
05123 AR St. Francis,Total,104207.17050558623,555237135.346041,20,23563.47035871501,22.61213911134056
05125 AR Saline,Total,319289.24831773865,1490205527.0242448,61,38603.1802708565,12.090347693900672
05127 AR Scott,Total,456798.1466093047,2133530427.9866822,83,46190.15509810161,10.1117212144925
05129 AR Searcy,Total,294296.603345972,1659808318.5056498,53,40740.74518839401,13.843430309829166
05131 AR Sebastian,Total,155637.18972005963,856724914.0534915,28,29269.86358105366,18.806471405517257
05133 AR Sevier,Total,244488.5176975857,1365220726.8946176,45,36948.89344614555,15.112731589239136
05135 AR Sharp,Total,255342.81548534267,1373828694.2890966,50,37065.1951875219,14.515855915926304
05137 AR Stone,Total,333738.31542498997,1842093966.110288,60,42919.62215712398,12.860262119579874
05139 AR Union,Total,640005.7942815099,3446239279.6729803,109,58704.67851605169,9.172522974101408
05141 AR Van Buren,Total,338633.23568175774,1851568817.9161747,69,43029.859608371655,12.706921552381365
05143 AR Washington,Total,310114.5286079469,1647450598.3899388,62,40588.79892765908,13.088325500212946
05145 AR White,Total,232494.50463624217,1194980154.8898144,51,34568.48499558253,14.868517021366987
05147 AR Woodruff,Total,105316.88565864923,482996899.5839168,24,21977.19043881444,20.867679766040958
05149 AR Yell,Total,481506.23892141494,2506499428.280715,85,50064.952095060624,10.397570799333208
06001 CA Alameda,Total,103467.2838035532,606515814.7254338,18,24627.541792177184,23.802250225236357
06003 CA Alpine,Total,365390.0817386561,1754352755.69449,66,41884.99439768961,11.46309013052185
06005 CA Amador,Total,205846.67837476637,1224383868.6728852,40,34991.197016862476,16.99866973474169
06007 CA Butte,Total,542628.4449524031,3135338485.120899,85,55994.09330564162,10.319048665160405
06009 CA Calaveras,Total,531359.8222540935,3126746508.6478887,77,55917.31850373271,10.523437445180669
06011 CA Colusa,Total,217995.38602705175,1272999143.3903112,34,35679.11354546678,16.366912252463568
06013 CA Contra Costa,Total,57554.22611182639,287195472.08904874,14,16946.84254039816,29.445001149821522
06015 CA Del Norte,Total,648353.4506442727,3214848945.5552382,118,56699.63796670344,8.74517408835577
06017 CA El Dorado,Total,805180.892655596,3162064921.412475,144,56232.24094247423,6.983802205863661
06019 CA Fresno,Total,1185655.201215542,5023258419.435647,198,70874.94916707628,5.97770322218591
06021 CA Glenn,Total,212925.19906634718,1184782130.814322,37,34420.664299433876,16.16561330005306
06023 CA Humboldt,Total,1663578.4588643105,7008062437.5347595,270,83714.1710675962,5.032174504396148
06025 CA Imperial,Total,7709.810932734346,26384841.182253297,3,5136.617679198374,66.62443118273241
06027 CA Inyo,Total,493784.5777445874,2527997872.291955,86,50279.19920098127,10.182415868603423
06029 CA Kern,Total,758207.4334469105,4184583919.361203,127,64688.359999007575,8.531749643356278
06033 CA Lake,Total,386981.4615714695,2033870717.557647,71,45098.45582231887,11.653906013787145
06035 CA Lassen,Total,1281554.2129974775,6642282781.332613,225,81500.20111222188,6.359481345826008
06037 CA Los Angeles,Total,186883.626500395,974348789.5630075,39,31214.560537720332,16.70267273931264
06039 CA Madera,Total,654043.0473685721,3448969910.8519816,101,58727.93126657861,8.979214977188455
06041 CA Marin,Total,100310.92638724545,592984511.3060093,19,24351.273299480858,24.27579345192562
06043 CA Mariposa,Total,650167.1763948655,3664867470.919469,104,60538.1488891052,9.31116658715152
06045 CA Mendocino,Total,1706466.652402389,8695756781.506182,270,93251.0417180751,5.46456865047992
06047 CA Merced,Total,30492.569437667167,156511305.044437,10,12510.447835486826,41.027857167171994
06049 CA Modoc,Total,1254189.008560508,4769263928.426117,221,69059.85757606308,5.506335736056748
06051 CA Mono,Total,730110.9726663722,3309893189.925205,141,57531.67119009498,7.879852973581368
06053 CA Monterey,Total,442232.67433441133,2333844068.908235,86,48309.87548015659,10.924085506089314
06055 CA Napa,Total,210608.45892597066,1179028427.083403,39,34336.98337191843,16.30370572341919
06057 CA Nevada,Total,402267.86095378397,2258860903.901051,68,47527.47525275302,11.814882536244523
06059 CA Orange,Total,2197.2910311992596,5000914.258176117,1,2236.2724024984336,101.77406500757881
06061 CA Placer,Total,620977.0971514378,3436806621.9216986,111,58624.28355145757,9.440651486243278
06063 CA Plumas,Total,1434839.9205409726,4567814371.732779,249,67585.60772629612,4.7103239015551335
06065 CA Riverside,Total,92215.29595885564,547555608.813645,17,23399.906171043614,25.375298021582143
06067 CA Sacramento,Total,14056.396615178177,72422102.83099277,3,8510.117674332874,60.54266898775181
06069 CA San Benito,Total,119112.74562561895,688289330.3208864,26,26235.26882501657,22.02557642947477
06071 CA San Bernardino,Total,474603.94808481593,2202726467.5927224,80,46933.21284115037,9.888921706307212
06073 CA San Diego,Total,126257.13960185258,644346202.350918,31,25383.975306301378,20.104982091586145
06077 CA San Joaquin,Total,14743.641566369346,68971461.1732216,4,8304.905849750592,56.3287286411948
06079 CA San Luis Obispo,Total,227089.35337665945,1148400864.505392,50,33888.063746773616,14.92278842793899
06081 CA San Mateo,Total,81257.33106629657,479679857.1029389,14,21901.59485295395,26.953377086782222
06083 CA Santa Barbara,Total,247448.06420182853,1318586723.7659094,47,36312.34946634422,14.674735720189922
06085 CA Santa Clara,Total,247322.49769322824,1364802197.2800903,49,36943.22938347554,14.937270053490593
06087 CA Santa Cruz,Total,223102.38959537545,1283569811.2203135,41,35826.94253240588,16.05852030423457
06089 CA Shasta,Total,1888330.6034301552,9732119776.743046,307,98651.50671298966,5.224270926594584
06091 CA Sierra,Total,472275.7991248692,2013523646.9954267,87,44872.303785246266,9.501292225516318
06093 CA Siskiyou,Total,3108737.48076653,10650439468.679167,522,103200.96641349424,3.3197066993269466
06095 CA Solano,Total,25581.551158339393,157986225.63051486,5,12569.257163035327,49.1340696474453
06097 CA Sonoma,Total,448328.7854830657,2648934265.3856506,72,51467.7983343532,11.479922771163944
06099 CA Stanislaus,Total,98472.56575795596,555119460.8585155,20,23560.973257879556,23.926433800650692
06101 CA Sutter,Total,11583.910918682153,63370099.15349833,3,7960.5338485241255,68.72060657584682
06103 CA Tehama,Total,1027229.914764484,5703924195.4285345,168,75524.32850034838,7.352232194061838
06105 CA Trinity,Total,1862209.6561041176,7188344336.353993,302,84784.10426697916,4.552876416952636
06107 CA Tulare,Total,1334414.776833066,6195694371.777703,211,78712.73322517586,5.898670682588128
06109 CA Tuolumne,Total,1077052.8446185973,4403812790.325336,186,66361.22957213297,6.161371738044349
06111 CA Ventura,Total,238107.24561812246,1097273536.0622413,42,33125.11941204501,13.911848556331307
06113 CA Yolo,Total,70436.75266567618,400563400.6054226,11,20014.080058934076,28.414257190318963
06115 CA Yuba,Total,181977.8326667766,1078303614.7999482,31,32837.53362845554,18.044798724790304
08001 CO Adams,Total,1451.7613636363637,2107611.056947314,1,1451.7613636363637,100.0
08003 CO Alamosa,Total,28198.923076923078,152559305.24767542,5,12351.490001116279,43.80128264977703
08005 CO Arapahoe,Total,5727.5,32804256.25,1,5727.5,100.0
08007 CO Archuleta,Total,711294.1393355236,376333813.63522446,117,19399.32508195129,2.7273281205541413
08009 CO Baca,Total,25570.75,145192557.07411277,5,12049.587423398063,47.122542058399006
08011 CO Bent,Total,38179.85806451613,214684943.22356,7,14652.131013049262,38.37659896034754
08013 CO Boulder,Total,240145.06092280304,110786797.04582857,37,10525.530725138213,4.3829886339081305
08015 CO Chaffee,Total,412618.0207716249,320841766.0769379,73,17912.056444667036,4.341074684806597
08019 CO Clear Creek,Total,169251.87874743482,159773222.502307,32,12640.14329437396,7.468244008821991
08021 CO Conejos,Total,264441.9808071758,408259596.0507643,49,20205.434814691922,7.640781827838901
08023 CO Costilla,Total,300536.55010954035,438191493.6314196,52,20933.02399634175,6.965217371634841
08027 CO Custer,Total,246344.9485823033,207914108.702079,41,14419.227049397585,5.853266783986907
08029 CO Delta,Total,333712.2447387063,406375762.4827036,68,20158.763912569233,6.04076243242239
08033 CO Dolores,Total,407835.9546102803,469820791.351051,72,21675.34985533223,5.314722650200067
08035 CO Douglas,Total,224954.69433009325,327459411.424681,42,18095.839616461046,8.044215156456186
08037 CO Eagle,Total,752628.3743340487,829063196.4902806,136,28793.45752927704,3.825720436696859
08039 CO Elbert,Total,32512.176286868686,167802117.48242566,7,12953.845663833798,39.843059257358036
08041 CO El Paso,Total,230263.81968130384,306712611.83679074,41,17513.212493337443,7.605716137939764
08043 CO Fremont,Total,693556.3495153348,735762617.7332811,112,27124.94456645545,3.9109936179534186
08045 CO Garfield,Total,1260122.0826597537,1491203179.7671475,215,38616.10000721393,3.064472921997089
08047 CO Gilpin,Total,92727.64285714286,11794808.984693905,14,3434.3571428571468,3.7037037037037077
08049 CO Grand,Total,769274.5784075339,463159052.2478969,130,21521.130366407266,2.797587619619239
08051 CO Gunnison,Total,1205440.149824423,1424805533.5426195,219,37746.59631731873,3.13135383144627
08053 CO Hinsdale,Total,410277.25597894605,592386458.0165063,69,24338.990488853608,5.932327501503665
08055 CO Huerfano,Total,422863.8214188261,559192925.6476854,72,23647.26042584395,5.592169211000551
08057 CO Jackson,Total,421531.229496966,279630760.3978348,77,16722.163747488983,3.9670047145603813
08059 CO Jefferson,Total,309048.87064420694,379204319.0659467,49,19473.16920960599,6.300999958037222
08065 CO Lake,Total,128078.43427336149,139683691.35184327,26,11818.78552778767,9.227771712576136
08067 CO La Plata,Total,757469.3382703441,924977356.7439322,118,30413.440396376274,4.015138152763298
08069 CO Larimer,Total,895941.5422708356,677240538.1642289,155,26023.845568328845,2.9046365572433803
08071 CO Las Animas,Total,942936.1522455427,2096259015.6250618,154,45784.92126918055,4.855569612019505
08075 CO Logan,Total,6117.632124352332,37425422.80890762,1,6117.632124352332,100.0
08077 CO Mesa,Total,1308126.5430962644,1455459231.2856853,231,38150.481403066005,2.9164213205830904
08079 CO Mineral,Total,389728.414792826,322884969.43012995,69,17969.000234574265,4.610646684339485
08081 CO Moffat,Total,780422.8331332935,2476539998.677827,133,49764.847017526605,6.376651848809624
08083 CO Montezuma,Total,713463.4098341882,834560183.3627214,123,28888.755310028875,4.049087158757411
08085 CO Montrose,Total,950064.5091676044,1045094853.9214162,154,32327.926842304878,3.4027086087689855
08089 CO Otero,Total,29901.451228583748,159142938.21238646,6,12615.186808461714,42.189212530268286
08091 CO Ouray,Total,230228.317127584,303703146.2706262,36,17427.08083043819,7.569477572465921
08093 CO Park,Total,687415.8320613977,791090557.6731887,123,28126.332104865516,4.091603770678556
08097 CO Pitkin,Total,405849.098601857,297590923.3868117,67,17250.82384661126,4.250551228532981
08101 CO Pueblo,Total,187404.3707365357,595169920.1768215,30,24396.104610712373,13.017895214946657
08103 CO Rio Blanco,Total,1299976.6689440114,2210391193.8344727,224,47014.79760495064,3.616587799467309
08105 CO Rio Grande,Total,260760.6317466579,277918706.85879177,46,16670.894002985915,6.393179020666942
08107 CO Routt,Total,895296.5505167479,1012440597.753049,154,31818.87172344502,3.554003609762573
08109 CO Saguache,Total,942908.9733161957,1027432286.7668052,176,32053.584616495005,3.3994357380822313
08111 CO San Juan,Total,103935.78811611331,107160907.33425723,20,10351.855260495928,9.95985641531982
08113 CO San Miguel,Total,486499.11547909176,892752878.208554,80,29878.970501149368,6.141628946586127
08117 CO Summit,Total,224834.35913578997,298281465.535656,41,17270.827007866646,7.681578151245039
08119 CO Teller,Total,277835.94392576924,394069056.8009518,43,19851.172680749914,7.144926030900324
08125 CO Yuma,Total,4424.754863813229,19578455.604838833,1,4424.754863813229,100.0
09001 CT Fairfield,Total,160638.4477396875,942778363.6741302,28,30704.696117599506,19.114163856560708
09003 CT Hartford,Total,203378.24435796335,1162025413.6336184,36,34088.493859858616,16.76113094961126
09005 CT Litchfield,Total,442003.75694102515,2331751425.285138,72,48288.21207380884,10.924841998628477
09007 CT Middlesex,Total,169972.9800395002,1031138301.6206944,29,32111.342258160035,18.892027574440153
09009 CT New Haven,Total,174530.62118167456,941024608.4229007,36,30676.124403563445,17.57635662777575
09011 CT New London,Total,243307.16951721092,1346807550.9941494,44,36698.87669935075,15.083351950611043
09013 CT Tolland,Total,176249.54987926295,1002128246.0091321,30,31656.409240612433,17.96112912759106
09015 CT Windham,Total,193378.8569279254,1147733952.0702064,31,33878.2223865156,17.51909330974193
10001 DE Kent,Total,107927.41580113745,235703233.96449184,45,15352.629545602013,14.22495797906449
10003 DE New Castle,Total,55816.680893937795,142385950.3099185,22,11932.558414268018,21.378122495212722
10005 DE Sussex,Total,191180.86991552357,334527139.252185,72,18290.083084890157,9.566900230641243
12001 FL Alachua,Total,294789.7973472142,1580283998.8991718,57,39752.78605203881,13.485129543074562
12003 FL Baker,Total,287673.07276018744,1248172033.2013216,75,35329.478246944454,12.281121033665924
